openalex_id,doi,title,publication_year,publication_date,type,cited_by_count,authors,institutions,countries,source,landing_page_url,is_open_access,abstract
https://openalex.org/W3001663120,https://doi.org/10.21855/ecociencia.50.144,Habilidades blandas: necesarias para la formación integral del estudiante universitario,2018,2018-12-21,article,104,Odalys Marrero Sánchez; Rachida Mohamed Amar; Jordi Xifra Triadú,Universidad Ecotec; Universidad de Cádiz; Universitat Pompeu Fabra,EC; ES,Revista Científica ECOCIENCIA,https://doi.org/10.21855/ecociencia.50.144,True,"El estudiante al egresar de la educación superior e integrarse al ámbito laboral se enfrenta a un cargo empresarial que exige un determinado conocimiento técnico o competencias profesionales que le permitan desempeñar de forma óptima su trabajo. Es decir, se trata de las competencias duras o Hard Skills. Para el desarrollo integral de una persona no basta solo con el conocimiento que pueda aprender, además de ello, es necesario un complemento de habilidades que le permitan comunicarse, tener autocontrol, confianza en sí mismo, se trata de las llamadas habilidades blandas o Soft Skills. En la actualidad, los empleadores demandan de profesionales competentes tanto en habilidades duras como blandas, es decir, que combinen el saber hacer con el saber ser y saber convivir. La siguiente investigación proporciona una recopilación teórica y reflexiva acerca de la importancia del desarrollo de las habilidades blandas durante el proceso docente, así como de su relación con las habilidades duras para el logro de una formación integral acorde a la sociedad del conocimiento, las tecnologías y la comunicación."
https://openalex.org/W2964861248,https://doi.org/10.1590/2175-35392019016464,Una revisión panorámica al entrenamiento de las habilidades blandas en estudiantes universitarios,2019,2019-01-01,article,119,Sandra Patricia Guerra-Báez,Corporación Universitaria Minuto de Dios,CO,Psicologia Escolar e Educacional,https://doi.org/10.1590/2175-35392019016464,True,"Resumen Las universidades en la actualidad asumen un reto fundamental en la construcción de sociedad, por lo que están llamadas a prestar especial interés en el entrenamiento de las habilidades blandas como parte esencial de la formación integral. El presente estudio teórico tiene como objetivo suministrar al pedagogo una conceptualización clara a partir de una revisión panorámica de la literatura de autores clásicos, por lo que se precisa la definición general del concepto y de cada una de las habilidades, se revisa la teoría del aprendizaje social como modelo referencial para el entrenamiento y se presentan las principales prácticas y estrategias a fomentar en los contexto de educación superior para desarrollarlas. Se concluye destacando la necesidad de construir, modificar o trasformar la práctica docente con la finalidad de propiciar un escenario de educación superior interesado en el desarrollo paralelo del ser y el hacer."
https://openalex.org/W3135316164,https://doi.org/10.20511/pyr2021.v9n1.1038,Habilidades blandas y el desempeño docente en el nivel superior de la educación,2021,2021-01-01,article,72,Jenny Liliana Rodríguez Siu; Raúl Eduardo Rodríguez Salazar; Leonardo Fuerte Montaño,Universidad Norbert Wiener,PE,Propósitos y Representaciones,https://doi.org/10.20511/pyr2021.v9n1.1038,True,"Luego de la indagación e interpretación de estudios previos, teorías y conceptos concernientes a la temática de investigación, en los siguientes acápites de este artículo de revisión, se pretende desarrollar, de forma conceptual y analítica, las habilidades blandas en la educación; las dimensiones de las habilidades blandas, según Daniel Goleman; las habilidades blandas en el docente de nivel superior; el desempeño docente; la evaluación del desempeño docente en el nivel superior; y, finalmente, la importancia de las habilidades bandas para el desempeño del docente universitario."
https://openalex.org/W4389260134,https://doi.org/10.24188/recia.v14.n1.2022.945,Habilidades blandas y ciencia,2022,2022-02-08,article,34,Jaime De La Ossa V,University of Sucre,CO,Revista Colombiana de Ciencia Animal - RECIA,https://doi.org/10.24188/recia.v14.n1.2022.945,True,"Las habilidades blandas, también conocidas como habilidades socioemocionales o habilidades para la vida, se describen como imprescindibles para un desarrollo integral del conocimiento y la educación. Las habilidades blandas se pueden agrupar en tres categorías: habilidades interpersonales, habilidades cognitivas, y habilidades para el control emocional. Estas tres categorías no trabajan de forma independiente, sino que generalmente se interrelacionan. Su importancia radica en que son valiosas para el desarrollo de la vida profesional y laboral. Se destacan como importantes, entre otras: comunicación asertiva, capacidad de negociación, confianza, cooperación, empatía, toma de decisiones, pensamiento crítico, autoevaluación, análisis y comprensión de consecuencias, y manejo de la ira, la tristeza y la frustración. Vistas como dimensiones interrelacionadas serían: aprender a saber, aprender a hacer, aprender a ser y aprender a vivir en sociedad. Se trata, así mismo, el egocentrismo como conducta que debilita o anula las habilidades blandas."
https://openalex.org/W3189178582,https://doi.org/10.4067/s0718-50062021000400049,Evaluación de las habilidades blandas en la educación superior,2021,2021-08-01,article,57,Gina Y. Fuentes; Luis Miguel Medrano Moreno; Diana Téllez; María Beatriz García,Corporación Universitaria Minuto de Dios,CO,Formación universitaria,https://doi.org/10.4067/s0718-50062021000400049,True,"Resumen: La presente investigación tiene como objetivo determinar la prevalencia de habilidades blandas en estudiantes de la Corporación Universitaria Minuto de Dios - UNIMINUTO (Colombia), de los programas académicos de psicología y administración en salud ocupacional de las sedes Bogotá sur y Zipaquirá. El enfoque es de tipo cuantitativo, con alcance descriptivo y corte transversal aplicado a una muestra de 50 estudiantes que cursan los últimos semestres. Se identifica que las habilidades blandas con mayor prevalencia en los estudiantes de los programas académicos estudiados son escucha, influencia y trabajo en equipo. Las habilidades que se deben fortalecer son responsabilidad y apoyo. Se concluye que el mercado laboral observa y exige la presencia de habilidades blandas en sus profesionales, siendo este un cambio y una oportunidad frente al entorno para que la academia a través de la articulación del currículo fortalezca las conductas asociadas a cada una de las habilidades."
https://openalex.org/W3024719674,https://doi.org/10.35290/rcui.v7n2.2020.245,Habilidades blandas en la educación y la empresa: Mapeo Sistemático,2020,2020-05-10,article,56,Marcos Antonio Espinoza Mina; Doris Gallegos Barzola,Universidad Ecotec; Mercy Corps,EC; US,Revista Científica UISRAEL,https://doi.org/10.35290/rcui.v7n2.2020.245,True,"La buena actitud, el pensamiento crítico, las habilidades comunicacionales, el manejo del tiempo, entre otras, forman parte de las habilidades blandas, las que se refieren a aspectos no únicamente cognitivos del ser humano; son aptitudes que le permiten interactuar con sus pares dentro del ambiente laboral y desenvolverse en la sociedad. El objetivo de este estudio es proporcionar una revisión de estos aspectos, los cuales son muy necesarias actualmente, tanto a nivel educativo como empresarial. Se realizó un mapeo sistemático donde se extrajeron estudios que permitieron conocer sobre los conceptos dados, si se están implementando estas habilidades en la educación actual y las más requeridas para la inserción laboral. Este ensayo muestra que, aunque se están implementando sistemas, acciones y formas para incluir de manera adecuada el desarrollo y potenciación de las habilidades blandas, las empresas buscan personas dinámicas, con adaptabilidad, empoderamiento y con capacidad de reaccionar favorablemente a las adversidades; todavía no existe evidencia de su medición y no se puede determinar si serán las adecuadas y únicas para los próximos años."
https://openalex.org/W3028420956,https://doi.org/10.33890/innova.v5.n2.2020.1321,Las habilidades blandas como base del buen desempeño del docente universitario,2020,2020-05-07,article,44,Jenny Liliana Rodríguez Siu,Universidad Norbert Wiener,PE,INNOVA Research Journal,https://doi.org/10.33890/innova.v5.n2.2020.1321,True,"El objetivo general de la investigación fue hallar la correlación entre las habilidades blandas y el desempeño docente en la Escuela de Posgrado de la Universidad Norbert Wiener. La metodología utilizada fue el enfoque cuantitativo, tipo no experimental transversal, nivel relacional, método descriptivo correlacional. Los resultados obtenidos comprueban una relación directa y significativa (d=0,601) entre las habilidades blandas y el desempeño docente, pudiéndose generalizar que aquellos docentes que poseen habilidades blandas son aquellos que tienen mejor desempeño laboral. Se determinó que las cinco habilidades blandas evaluadas tienen una correlación con el desempeño docente, sin embargo, las de mayor relación significativa considerable con el desempeño docente son la responsabilidad (d=0,547), la adaptabilidad (d=0,651) y la gestión eficaz de la información (d=0,552); mientras que las habilidades de comunicación (d=0,374) y el desarrollo de los demás (d=0,487) arrojan una correlación positiva media. Las habilidades blandas son las responsables de al menos el 70% del éxito laboral y debido a la fuerte correlación entre ambas variables, resulta imprescindible reformular el proceso de selección docente, así como los programas de inducción- capacitación con miras a incluir las habilidades blandas como indicador de peso en una contratación docente, que garantice una mejora en el desempeño."
https://openalex.org/W2945294867,https://doi.org/10.29057/esa.v6i11.3760,Las habilidades blandas competencias para el nuevo milenio,2019,2019-01-05,article,47,María Edith Gómez Gamero,Universidad Autónoma del Estado de Hidalgo,MX,DIVULGARE Boletín Científico de la Escuela Superior de Actopan,https://doi.org/10.29057/esa.v6i11.3760,True,"Los grandes avances científicos que están presentes en nuestro mundo están modificando tanto la tecnología como la relaciones sociales y humanas, vivimos en un mundo cambiante de forma vertiginosa, en el siglo XIX se han iniciado los grandes cambios que en muchos siglos no se habían experimentado, como ciudadanos actuales no debemos perder de vista que estos cambios generan en las relaciones humanas incluso crisis que deberán resolverse para estar posicionados en un ambiente real de trabajo que permita perdurar como empleado a pesar de estos cambios, pero en este proceso de trasformación solo se beneficiarán como señalas los teóricos del darwinismo tecnológico quiénes sean capaces de innovar y adaptarse, el futuro del empleo se considera que está en trabajos que no existen, en industrias que utilizan tecnología nuevas y que para manejarlas se habrán de rodear de expertos para manejarlas, se señala también que el vivir incluso se realizará en condiciones planetarias que ningún ser humano ha experimentado , (Bauman, 2013) consideraba que nos hemos vuelto indiferentes ante los demás, que se ha ahogado el impulso natural de ayudar al otro y las normas éticas están en crisis total, porque lo que prima ahora es la competencia, también acuño el término de mundo líquido para definir el estado fluido y volátil de la actual sociedad , considerándola sin valores demasiado sólidos, en los que la incertidumbre se privilegia y por la vertiginosa rapidez de los cambios se han debilitado los vínculos humanos, desde esta perspectiva se intenta realizar una análisis de estos cambios que afectan nuestras relaciones humanas y la permanencia en un empleo si no se manejan las competencias blandas que son los atributos o capacidades que permiten a una persona desempeñarse en su trabajo de manera efectiva y que apunta al desarrollo del lado emocional, interpersonal y a la interacción que se realiza con el resto del personal en una empresa en donde la peor consecuencia de esto es el individualismo y la renuncia a un humanismo que para (Bauman, 2013) es necesario retomar."
https://openalex.org/W3035609305,https://doi.org/10.23913/ride.v10i20.678,Las habilidades blandas en estudiantes de ingeniería de tres instituciones públicas de educación superior,2020,2020-06-09,article,41,Claudia Alejandra Hernández Herrera; Juan Carlos Neri Torres,Instituto Politécnico Nacional,MX,RIDE Revista Iberoamericana para la Investigación y el Desarrollo Educativo,https://doi.org/10.23913/ride.v10i20.678,True,"El objetivo del presente artículo fue analizar la percepción que tienen los estudiantes de ingeniería en relación con la adquisición de habilidades blandas obtenidas en el transcurso de sus carreras. La obtención de los datos se realizó por medio de la construcción de un cuestionario con escala tipo Likert. Se utilizó el análisis factorial y las pruebas estadísticas de Kruskal-Wallis y los modelos lineales generalizados. Es un estudio transversal; la muestra fue de 3560 jóvenes de tres universidades públicas: dos ubicadas en la Ciudad de México y una en el País Vasco, España. Como parte de los resultados, los estudiantes de la Escuela de Ingeniería de Bilbao, en el País Vasco, obtuvieron las mayores puntuaciones en relación con las habilidades blandas; le siguieron las universidades mexicanas. Además, se halló que tanto en el Instituto Politécnico Nacional (IPN) como en el Tecnológico Nacional de México (TecNM) se deben reforzar los saberes relacionados con este tipo de habilidades, particularmente en las ingenierías en informática y de tecnologías de la información y comunicación. Por último, los jóvenes del IPN que se encuentran trabajando son los que registraron más puntos en las también llamadas soft skills. Se concluye que las instituciones de educación tienen que trabajar en la implementación de talleres que refuercen las habilidades blandas, así como mantener el acercamiento con el sector empresarial que continúe impulsando las estancias, ya que estas coadyuvan al fortalecimiento de las competencias interpersonales de los estudiantes."
https://openalex.org/W4226077094,https://doi.org/10.25214/27114406.1311,Estudio sobre habilidades blandas en estudiantes universitarios: el caso del TECNM Coatzacoalcos,2022,2022-02-21,article,29,Luis Armando González; Miguel Ángel Clara Zafra; Susana Céspedes Gallegos; Sandra Natalia Ceja Romay; Esteban Pacheco López,Tecnológico Nacional de México; Centro Universitario de Coatzacoalcos; Universidad Veracruzana,MX,IPSA Scientia revista científica multidisciplinaria,https://doi.org/10.25214/27114406.1311,True,"Las habilidades blandas representan un conjunto de capacidades y destrezas asociadas a la inteligencia emocional que permiten una mejor interacción entre las personas, y en el ámbito universitario mejora el rendimiento académico. Los resultados de esta investigación informan sobre habilidades blandas en estudiantes universitarios, el objetivo es comparar el nivel de aplicabilidad de las habilidades blandas de estudiantes del TECNM de Coatzacoalcos respecto del género. El método de la investigación consistió en un estudio de enfoque cuantitativo de alcance descriptivo y de corte transversal, se consideró un muestreo de tipo no probabilístico por conveniencia de 330 estudiantes de nuevo ingreso inscritos en el semestre correspondiente de agosto 2021-enero 2022 de las 13 carreras de ingeniería que se ofertan en la institución, de la cual surgen dos muestras independientes: 110 mujeres y 220 hombres. Se utilizó como técnica de recolección de información la encuesta que fue diseñada y validada con un Alfa de Cronbach de 0.849 y que se adaptó al contexto del estudio. Los resultados indican que en general el nivel de aplicabilidad de las habilidades blanda es alto y la dimensión motivación es la habilidad con mayor aplicabilidad, respecto al género, son las mujeres las que aplican en mayor medida que los hombres dichas habilidades, no obstante, la prueba de hipótesis corrobora que si existen diferencias significativas entre las muestras."
